,Region Type,Region,Year,Week,Age 0-4,Age 5-24,Age 25-49,Age 50-64,Age over 64,Total ILI,Total Patients,% Unweighted ILI,% Weighted ILI
0,National,X,2016,40,3113,4144,2146,830,641,10874,857471,1.3,1.2
1,National,X,2016,41,3192,4037,2149,874,674,10926,835989,1.3,1.2
2,National,X,2016,42,3545,4411,2221,959,669,11805,865416,1.4,1.3
3,National,X,2016,43,3772,4665,2381,965,679,12462,853865,1.5,1.4
4,National,X,2016,44,4284,5175,2424,1011,697,13591,851578,1.6,1.5
5,National,X,2016,45,4670,5107,2527,1040,736,14080,834634,1.7,1.6
6,National,X,2016,46,4948,5537,2650,1081,825,15041,856029,1.8,1.7
7,National,X,2016,47,5013,4594,2643,1121,874,14245,683423,2.1,1.9
8,National,X,2016,48,5262,5736,3428,1448,1069,16943,859649,2,1.9
9,National,X,2016,49,5443,5816,3244,1470,1040,17013,811004,2.1,2
10,National,X,2016,50,5614,6559,3486,1521,1023,18203,769850,2.4,2.2
11,National,X,2016,51,6395,7162,3992,1910,1376,20835,691836,3,2.7
12,National,X,2016,52,7320,6668,4960,2463,1962,23373,641257,3.6,3.3
13,National,X,2017,01,6019,5861,5122,2465,1912,21379,652828,3.3,3.2
