,Region Type,Region,Year,Week,Age 0-4,Age 5-24,Age 25-49,Age 50-64,Age over 64,Total ILI,Total Patients,% Unweighted ILI,% Weighted ILI
0,National,X,2016,40,3122,4188,2169,836,642,10957,862311,1.3,1.2
1,National,X,2016,41,3203,4082,2202,888,675,11050,843166,1.3,1.3
2,National,X,2016,42,3557,4496,2267,980,694,11994,890559,1.3,1.3
3,National,X,2016,43,3791,4775,2439,992,702,12699,880068,1.4,1.4
4,National,X,2016,44,4315,5276,2484,1040,717,13832,875887,1.6,1.5
5,National,X,2016,45,4702,5229,2605,1072,760,14368,858341,1.7,1.6
6,National,X,2016,46,4986,5655,2763,1103,833,15340,866777,1.8,1.7
7,National,X,2016,47,5071,4666,2714,1143,892,14486,695193,2.1,1.9
8,National,X,2016,48,5329,5868,3523,1473,1081,17274,878630,2,1.9
9,National,X,2016,49,5595,6061,3344,1508,1063,17571,841714,2.1,2
10,National,X,2016,50,5773,6878,3644,1577,1046,18918,799433,2.4,2.2
11,National,X,2016,51,6619,7478,4200,2015,1429,21741,722840,3,2.8
12,National,X,2016,52,7626,7054,5249,2643,2105,24677,682223,3.6,3.4
13,National,X,2017,01,6571,6631,5639,2766,2192,23799,755907,3.1,3.1
14,National,X,2017,02,5929,8692,5363,2661,2061,24706,787156,3.1,3.2
15,National,X,2017,03,6143,11613,5574,2700,1865,27895,777760,3.6,3.6
16,National,X,2017,04,6322,12242,5428,2450,1634,28076,749158,3.7,3.9
